ARKEMA;20/02/2013;BEC;No Premium
VODAFONE;10/05/2013;CIB;No Premium
SA MAJ;14/06/2013;BEC;No Premium
SHNEIDER;5/07/2013;CIB;No Premium
STEF;26/07/2013;BEC;No Premium
CPW (CARPHONE WAREHOUSE);30/09/2013;BEC;No Premium
ALSTOM;10/04/2012;CIB;No Premium
ENDESA;8/11/2013;CIB;No Premium
TELFISA
TELEFÓNICA ROAMING;25/11/2013;CIB;No Premium
EARTHPORT;2/12/2013;BEC;No Premium
EUROPCAR;11/05/2012;BEC;No Premium
DECATHLON;20/11/2012;CIB;No Premium
RIUSA;19/02/2014;BEC;No Premium
BACARDI;25/02/2014;CIB;No Premium
EMBAJADA DE LOS PAISES BAJOS;13/03/2014;CIB;No Premium
MINERSA;26/03/2014;BEC;No Premium
HUAWEI;31/03/2014;CIB;No Premium
CORTEFIEL;7/05/2014;BEC;No Premium
SAPA;7/05/2014;BEC;No Premium
IPG;20/05/2014;CIB;No Premium
SUNGLASS;30/05/2014;BEC;No Premium
ABERTIS;24/06/2014;CIB;No Premium
TECNICAS REUNIDAS;10/07/2014;BEC;No Premium
ALDESA;16/10/2014;BEC;No Premium
ATOS;16/09/2014;CIB;No Premium
PEOPLE SOFT;6/10/2014;BEC;No Premium
BUNGE;22/10/2014;CIB;No Premium
INDITEX;19/09/2013;BEC;No Premium
GONVARRI;4/11/2014;BEC;No Premium
IBERIA EXPRESS;18/12/2014;CIB;No Premium
GE (General Electric);8/01/2015;CIB;No Premium
TEKA;23/01/2015;BEC;No Premium
LAFARGE;6/06/2011;CIB;No Premium
AGFA;10/01/2012;BEC;No Premium
INTERNATIONAL PAPER EUROPE;16/01/2012;CIB;No Premium
VUELING;21/02/2012;CIB;No Premium
ZURICH GROUP;23/12/2011;BEC;No Premium
MOMENTIVE;1/08/2012;BEC;No Premium
WHIRlPOOL;31/10/2012;BEC;No Premium
ROCA SANITARIO SA;4/12/2012;BEC;No Premium
INTERNATIONAL PAPER EUROPE;16/01/2013;CIB;No Premium
HYDRO BUILDING SYSTEMS SOUTHWEST S.L.;8/02/2013;BEC;No Premium
EMBAJADA QATAR;8/05/2013;BEC;No Premium
SUNGRAD;18/07/2013;BEC;No Premium
BPI;15/07/2013;BEC;No Premium
NOROTO;18/07/2013;BEC;No Premium
NORDSON IBERICA;27/09/2013;BEC;No Premium
INTERCONTINENTAL HOTELES;12/11/2013;BEC;No Premium
VIFOR PHARMA;5/02/2014;BEC;No Premium
GENERAL SERVICES SECTOR ALARM;14/02/2014;PYME;No Premium
PRAXAIR;11/12/2013;CIB;No Premium
ABENGOA;29/04/2014;BEC;No Premium
PUTZMEISTER;30/09/2014;BEC;No Premium
WORLEYPARSONS;22/10/2014;PYME;No Premium
NEW YORK UNIVERSITY SUCURSAL EN ESPA¥A;27/10/2014;BEC;No Premium
SAAR GUMMI IBERICA;25/11/2014;BEC;No Premium
ALIAXIS IBERICA S.L.;9/12/2014;BEC;No Premium
FASHION IQ BCN S.L.;15/12/2014;PYME;No Premium
COMUTO;15/01/2015;BEC;No Premium
REPARALIA;27/01/2015;BEC;No Premium
BAYER;1/06/2011;CIB;No Premium
COVIDIEN;1/01/2011;CIB;No Premium
SOLVAY;1/06/2011;CIB;No Premium
PMI (Philiph Morris Intenational);20/07/2011;CIB;No Premium
OMNICOM;18/10/2011;BEC;No Premium
JCI (JOHNSON CONTROLS);1/10/2011;BEC;No Premium
PONTEGADEA;17/02/2012;BEC;No Premium
Serunion;23/11/2011;BEC;No Premium
ARCELOR;1/10/2011;CIB;No Premium
TOMPLA;1/09/2011;BEC;No Premium
"PUBLICIS (MULTI MARKET SERVICES SPAIN HOLDINGS S.L
)";23/03/2012;BEC;No Premium
HOTUSA;15/03/2012;BEC;No Premium
LYRECO;27/04/2012;BEC;No Premium
IBM;17/05/2011;CIB;No Premium
VW;1/06/2011;CIB;No Premium
CEMEX;1/06/2011;CIB;No Premium
RENAULT;1/02/2012;CIB;No Premium
LVMH (Louis Vuiton);24/02/2012;CIB;No Premium
L'OCCITANE;1/04/2012;BEC;No Premium
LABORATORIOS ALMIRALL;16/02/2012;BEC;No Premium
REPSOL;12/09/2012;CIB;No Premium
ICL FINANCE BV;11/12/2012;BEC;No Premium
SIEMENS;1/06/2012;CIB;No Premium
SICONET (BULL);30/10/2012;BEC;No Premium
BOSCH-SIEMENS;30/10/2012;BEC;No Premium
APERAM;7/08/2012;CIB;No Premium
CARGOTEC;29/10/2012;BEC;No Premium
FOSCO-MERKAL;11/02/2013;BEC;No Premium
SAICA;14/01/2013;BEC;No Premium
GAMESA;16/01/2013;CIB;No Premium
ALDER VENTICONTROL;18/01/2013;BEC;No Premium
CAT;1/01/2012;BEC;No Premium
ARKEMA;20/02/2013;BEC;No Premium
PROSEGUR;17/01/2013;BEC;No Premium
THENAISIE PROVOTE;3/06/2013;BEC;No Premium
IBERIA;10/05/2013;CIB;No Premium
ARKEMA;26/06/2013;BEC;No Premium
PORCELANOSA;1/12/2011;BEC;No Premium
COMSA EMTE;19/07/2013;BEC;No Premium
ORIFLAME;7/03/2013;BEC;No Premium
ARKEMA;20/02/2013;BEC;No Premium
TOTAL;1/06/2011;CIB;No Premium
GRIFOLS;2/01/2012;BEC;No Premium
CHEP;30/10/2012;BEC;No Premium
CATERPILLAR SARL;6/03/2013;CIB;No Premium
PUIG;26/06/2013;BEC;No Premium
THALES;12/01/2012;CIB;No Premium
IBEROSTAR;1/01/2012;BEC;No Premium
FIESTA HOTELS RESORTS;22/11/2013;BEC;No Premium
NH HOTELES;"18/07/2012
17/01/2013";BEC;No Premium
SA MAJ;14/06/2013;BEC;No Premium
IBERDROLA;18/09/2013;CIB;No Premium
OBERTHUR;19/09/2013;BEC;No Premium
PERFETTI VAN MELLE;15/10/2013;BEC;No Premium
TETRAPAK;12/11/2013;BEC;No Premium
LABORATORIOS ESTEVE;26/10/2012;BEC;No Premium
REPSOL ESPA¥A;13/09/2013;CIB;No Premium
